Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",C_0603,3,22uF,
"C10, C11, C12, C13, C14, C15, C4",C_0201,7,100nF,
C2,C_0201,1,1uF,
C6,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
C7,C_0402,1,10uF 6.3V,C15525
C9,C_0805,1,100uF,C141660
D1,D_0402,1,D,C28642302
"D10, D4, D5, D6, D7, D8, D9",SMD1010,7,XL-1010RGBC-WS2812B,C5349953
D2,DFN1006-2L,1,~,C5137770
D3,D_SOD-123,1,MBR0530,C5204746
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-PH-SM4-TB,C295747
J4,TF_PUSH,1,TF_PUSH,C393941
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
Q1,SOT-23,1,CJ2301,C8547
"R1, R10, R11, R2, R3, R4, R5, R6, R7, R9",R_0201,10,10K,C106225
"R12, R13, R8",R_0201,3,5K1,C274341
"R14, R15, R16",R_0201,3,100K 1%,C717003
SW1,SW_Push_DPDT,1,SW_Push_DPDT,C2911139
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1-N4R2,C3013941
U2,WCSP-4-0.78x0.78,1,~,C2655476
U3,SOT-23-5,1,TP4054,C668215
U4,SOT-23-5-90,1,ME6211C33M5G-N,
"U5, U6",ICS43434_MEMS_Mic_Open,2,ICS-43434,C5656610
